Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Exact_Switch_Time
28.0,40,239.1689824942696,True,28.0,26.0,19.0,26.083990513040476,2024-09-18 23:10:08.336979,2024-09-10 02:05:02.365847
28.0,40,237.12768984612217,True,28.0,26.0,20.0,28.600573109895578,2024-09-18 21:07:39.683446,2024-09-10 04:36:02.063196
28.0,40,237.87974575115416,True,28.0,26.0,21.0,31.290493477073476,2024-09-18 21:52:47.084704,2024-09-10 07:17:25.776517
28.0,40,236.31306735600322,True,28.0,26.0,22.0,34.120184685168695,2024-09-18 20:18:47.042482,2024-09-10 10:07:12.664867
28.0,40,236.20663322554208,True,28.0,26.0,23.0,36.96195664714273,2024-09-18 20:12:23.879612,2024-09-10 12:57:43.043930
28.0,40,236.74134073774482,True,28.0,26.0,24.0,40.07181577705862,2024-09-18 20:44:28.826656,2024-09-10 16:04:18.536797
28.0,40,233.7129871394318,True,28.0,26.0,25.0,43.688278922063105,2024-09-18 17:42:46.753702,2024-09-10 19:41:17.804119
28.0,40,233.84722156210205,True,28.0,26.0,26.0,47.408750922504964,2024-09-18 17:50:49.997624,2024-09-10 23:24:31.503321
28.0,40,233.76775264864176,True,28.0,26.0,27.0,51.54039487453069,2024-09-18 17:46:03.909535,2024-09-11 03:32:25.421548
28.0,40,233.7119673051657,True,28.0,26.0,28.0,56.92303889433876,2024-09-18 17:42:43.082299,2024-09-11 08:55:22.940020
28.0,40,229.35195649342447,True,28.0,26.0,29.0,63.6728520108704,2024-09-18 13:21:07.043376,2024-09-11 15:40:22.267239
28.0,40,230.31227989497484,True,28.0,26.0,30.0,71.1355582662694,2024-09-18 14:18:44.207622,2024-09-11 23:08:08.009759
28.0,40,223.27815422091058,True,28.0,26.0,31.0,78.7119769556742,2024-09-18 07:16:41.355195,2024-09-12 06:42:43.117040
28.0,40,224.4825170619505,True,28.0,26.0,32.0,85.23373018678303,2024-09-18 08:28:57.061423,2024-09-12 13:14:01.428672
28.0,40,226.830777634081,True,28.0,26.0,33.0,91.95646408535461,2024-09-18 10:49:50.799483,2024-09-12 19:57:23.270707
28.0,40,220.4262397258977,True,28.0,26.0,34.0,100.79566625808962,2024-09-18 04:25:34.463013,2024-09-13 04:47:44.398529
28.0,40,212.02602963787865,True,28.0,26.0,35.0,110.49149223867802,2024-09-17 20:01:33.706696,2024-09-13 14:29:29.372059
28.0,40,218.9149094487271,True,28.0,26.0,36.0,120.68636338791177,2024-09-18 02:54:53.674015,2024-09-14 00:41:10.908196
