Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
28.0,20,22.53832276654197,True,28.0,32.0,3.0,0.8005315220216386,2024-09-17 07:32:17.961960,2024-09-16 09:00:00,2024-09-16 09:48:01.913479,1,07:32:17.961960,0.0,09:48:01.913479
28.0,20,23.044506887165085,True,28.0,32.0,4.0,1.3067156426447524,2024-09-17 08:02:40.224794,2024-09-16 09:00:00,2024-09-16 10:18:24.176314,1,08:02:40.224794,0.0,10:18:24.176314
32.0,20,23.057131482926035,True,32.0,28.0,15.0,10.82157935179881,2024-09-17 08:03:25.673339,2024-09-16 09:00:00,2024-09-16 19:49:17.685666,1,08:03:25.673339,0.0,19:49:17.685666
28.0,20,23.5656364762731,True,28.0,32.0,5.0,1.8278452317527698,2024-09-17 08:33:56.291315,2024-09-16 09:00:00,2024-09-16 10:49:40.242834,1,08:33:56.291315,0.0,10:49:40.242834
32.0,20,23.640984950168345,True,32.0,28.0,14.0,8.891121740774814,2024-09-17 08:38:27.545821,2024-09-16 09:00:00,2024-09-16 17:53:28.038267,1,08:38:27.545821,0.0,17:53:28.038267
28.0,20,24.100141255187346,True,28.0,32.0,6.0,2.362350010667016,2024-09-17 09:06:00.508519,2024-09-16 09:00:00,2024-09-16 11:21:44.460038,1,09:06:00.508519,0.0,11:21:44.460038
32.0,20,24.107781949995772,True,32.0,28.0,13.0,7.097387222230825,2024-09-17 09:06:28.015020,2024-09-16 09:00:00,2024-09-16 16:05:50.594000,1,09:06:28.015020,0.0,16:05:50.594000
28.0,20,24.40562864258558,True,28.0,32.0,7.0,2.9462100307128516,2024-09-17 09:24:20.263113,2024-09-16 09:00:00,2024-09-16 11:56:46.356111,1,09:24:20.263113,0.0,11:56:46.356111
28.0,20,24.48818091027115,True,28.0,32.0,8.0,3.6726395704164894,2024-09-17 09:29:17.451277,2024-09-16 09:00:00,2024-09-16 12:40:21.502453,1,09:29:17.451277,0.0,12:40:21.502453
32.0,20,24.629026129476713,True,32.0,28.0,12.0,5.4685174018585325,2024-09-17 09:37:44.494066,2024-09-16 09:00:00,2024-09-16 14:28:06.662647,1,09:37:44.494066,0.0,14:28:06.662647
28.0,20,24.640236664261305,True,28.0,32.0,9.0,4.656122595316741,2024-09-17 09:38:24.851991,2024-09-16 09:00:00,2024-09-16 13:39:22.041343,1,09:38:24.851991,0.0,13:39:22.041343
28.0,20,24.876540617781657,True,28.0,32.0,10.0,5.925451488105906,2024-09-17 09:52:35.546224,2024-09-16 09:00:00,2024-09-16 14:55:31.625357,1,09:52:35.546224,0.0,14:55:31.625357
