Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,End_Time,Start_Time,Exact_Switch_Time
26.0,30,77.75149392949373,True,26.0,28.0,25.0,50.31235930696221,2024-11-29 15:30:00,2024-11-26 09:44:54.621854,2024-11-28 12:03:39.115359
26.0,30,77.61774701894996,True,26.0,28.0,26.0,53.8985954630848,2024-11-29 15:30:00,2024-11-26 09:52:56.110732,2024-11-28 15:46:51.054399
26.0,30,77.69846767211715,True,26.0,28.0,27.0,58.10971078706234,2024-11-29 15:30:00,2024-11-26 09:48:05.516380,2024-11-28 19:54:40.475213
26.0,30,77.75603325875608,True,26.0,28.0,28.0,63.5481454240678,2024-11-29 15:30:00,2024-11-26 09:44:38.280268,2024-11-29 01:17:31.603795
26.0,30,82.11820758702243,True,26.0,28.0,29.0,74.65797614875368,2024-11-29 15:30:00,2024-11-26 05:22:54.452687,2024-11-29 08:02:23.166823
26.0,40,192.6939735023161,True,26.0,28.0,0.0,0.0068117666960461065,2024-11-29 15:30:00,2024-11-21 14:48:21.695392,2024-11-21 14:48:46.217752
26.0,40,192.64309884133127,True,26.0,28.0,1.0,0.13796123473730404,2024-11-29 15:30:00,2024-11-21 14:51:24.844171,2024-11-21 14:59:41.504616
26.0,40,192.64185867120705,True,26.0,28.0,2.0,0.5032644079765305,2024-11-29 15:30:00,2024-11-21 14:51:29.308784,2024-11-21 15:21:41.060653
26.0,40,192.75119173704024,True,26.0,28.0,3.0,1.0836098595173098,2024-11-29 15:30:00,2024-11-21 14:44:55.709747,2024-11-21 15:49:56.705241
26.0,40,192.9175824946551,True,26.0,28.0,4.0,1.762244925594132,2024-11-29 15:30:00,2024-11-21 14:34:56.703019,2024-11-21 16:20:40.784751
26.0,40,192.98338082062128,True,26.0,28.0,5.0,2.3353185998130357,2024-11-29 15:30:00,2024-11-21 14:30:59.829046,2024-11-21 16:51:06.976005
26.0,40,193.0513360440791,True,26.0,28.0,6.0,2.913619461993221,2024-11-29 15:30:00,2024-11-21 14:26:55.190241,2024-11-21 17:21:44.220304
26.0,40,193.11347303451203,True,26.0,28.0,7.0,3.5314823181761312,2024-11-29 15:30:00,2024-11-21 14:23:11.497076,2024-11-21 17:55:04.833421
26.0,40,192.91712326248398,True,26.0,28.0,8.0,4.0333588423454785,2024-11-29 15:30:00,2024-11-21 14:34:58.356255,2024-11-21 18:36:58.448087
26.0,40,193.22303872896464,True,26.0,28.0,9.0,5.296668615119415,2024-11-29 15:30:00,2024-11-21 14:16:37.060576,2024-11-21 19:34:25.067590
26.0,40,193.1407176583425,True,26.0,28.0,10.0,6.460766188240086,2024-11-29 15:30:00,2024-11-21 14:21:33.416430,2024-11-21 20:49:12.174708
26.0,40,193.39174553969224,True,26.0,28.0,11.0,8.28657594154356,2024-11-29 15:30:00,2024-11-21 14:06:29.716057,2024-11-21 22:23:41.389447
26.0,40,193.4602545007956,True,26.0,28.0,12.0,10.25959421538937,2024-11-29 15:30:00,2024-11-21 14:02:23.083797,2024-11-22 00:17:57.622972
26.0,40,194.16917250049755,True,26.0,28.0,13.0,13.105775824973534,2024-11-29 15:30:00,2024-11-21 13:19:50.978998,2024-11-22 02:26:11.771968
26.0,40,193.76145087638815,True,26.0,28.0,14.0,14.948314314151503,2024-11-29 15:30:00,2024-11-21 13:44:18.776845,2024-11-22 04:41:12.708376
26.0,40,193.81414439895252,True,26.0,28.0,15.0,17.507032853882265,2024-11-29 15:30:00,2024-11-21 13:41:09.080164,2024-11-22 07:11:34.398438
26.0,40,194.3553174709059,True,26.0,28.0,16.0,20.863978284731274,2024-11-29 15:30:00,2024-11-21 13:08:40.857105,2024-11-22 10:00:31.178930
26.0,40,196.07178621416915,True,26.0,28.0,17.0,25.26589368970963,2024-11-29 15:30:00,2024-11-21 11:25:41.569629,2024-11-22 12:41:38.786912
26.0,40,194.64297852013715,True,26.0,28.0,18.0,25.959230027510785,2024-11-29 15:30:00,2024-11-21 12:51:25.277328,2024-11-22 14:48:58.505427
26.0,40,193.8513309259988,True,26.0,28.0,19.0,27.25217860835255,2024-11-29 15:30:00,2024-11-21 13:38:55.208666,2024-11-22 16:54:03.051656
26.0,40,195.8863463438438,True,26.0,28.0,20.0,31.810007193320416,2024-11-29 15:30:00,2024-11-21 11:36:49.153162,2024-11-22 19:25:25.179058
26.0,40,195.1285793221714,True,26.0,28.0,21.0,33.74785328805228,2024-11-29 15:30:00,2024-11-21 12:22:17.114440,2024-11-22 22:07:09.386277
26.0,40,196.690712420178,True,26.0,28.0,22.0,38.14421053273509,2024-11-29 15:30:00,2024-11-21 10:48:33.435287,2024-11-23 00:57:12.593205
26.0,40,196.7939465740019,True,26.0,28.0,23.0,41.0924058801138,2024-11-29 15:30:00,2024-11-21 10:42:21.792334,2024-11-23 03:47:54.453502
26.0,40,196.25741114708035,True,26.0,28.0,24.0,43.667548273652756,2024-11-29 15:30:00,2024-11-21 11:14:33.319871,2024-11-23 06:54:36.493656
26.0,40,199.2852081973142,True,26.0,28.0,25.0,50.31235930696221,2024-11-29 15:30:00,2024-11-21 08:12:53.250490,2024-11-23 10:31:37.743995
26.0,40,199.15146128677043,True,26.0,28.0,26.0,53.8985954630848,2024-11-29 15:30:00,2024-11-21 08:20:54.739368,2024-11-23 14:14:49.683035
26.0,40,199.23218193993762,True,26.0,28.0,27.0,58.10971078706234,2024-11-29 15:30:00,2024-11-21 08:16:04.145016,2024-11-23 18:22:39.103849
26.0,40,199.28974752657655,True,26.0,28.0,28.0,63.5481454240678,2024-11-29 15:30:00,2024-11-21 08:12:36.908904,2024-11-23 23:45:30.232431
